product_code,name,supplier_display,location,threshold,lead_time_days
3PR01843,RNAscope® 2.5 LS Probe -HPV-HR18,Third Party,,0,4
3PR02439,SALL4 - Concentrate - 1.0 ml,Third Party,,0,4
3PR02814,Serum Amyloid A (EP335),Third Party,,0,4
3PR00904,STAT6 (YE361) abcam,Third Party,,0,4
3PR02364,Stathmin1 (SP49),Third Party,,0,4
3PR02206,TSH - Vitro,Third Party,,0,4
3PR02499,Thyroglobulin,Third Party,,0,4
NCL-L-CAIX,NCL-L-CAIX,Third Party,,0,4
NCL-L-CD123,NCL-L-CD123,Third Party,,0,4
NCL-L-Langerin,NCL-L-Langerin,Third Party,,0,4
NCL-L-MITF,NCL-L-MITF,Third Party,,0,4
